,時間,本文
77,2022-12-02 23:47:01+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
78,2022-12-02 23:46:54+09:00,"RT @D_kokeshimaru: 明日の金曜ロードショーでやる“天使にラブ・ソングを···”は、かれこれ10年以上放送されてなかった日テレ版オリジナル吹き替えのDVDにもBlu-rayにも収録されてない中村晃子さんのデロリスなので、好きな人は録画不可避だぞ！
2週連続だから…"
79,2022-12-02 23:46:51+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
80,2022-12-02 23:46:31+09:00,"RT @miura3__: どういう人生を歩んできたら
原題: 「Sister Act」を
「天使にラブ・ソングを」
に日本語訳出来る教養が身に付くのかと毎回思う…

#金曜ロードショー
#天使にラブ・ソングを"
81,2022-12-02 23:46:23+09:00,"RT @D_kokeshimaru: 明日の金曜ロードショーでやる“天使にラブ・ソングを···”は、かれこれ10年以上放送されてなかった日テレ版オリジナル吹き替えのDVDにもBlu-rayにも収録されてない中村晃子さんのデロリスなので、好きな人は録画不可避だぞ！
2週連続だから…"
82,2022-12-02 23:45:48+09:00,"天使にラブ・ソングを見てて、歌うシーンで泣きそうに😭
これって歳？"
83,2022-12-02 23:45:46+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
84,2022-12-02 23:45:40+09:00,"金曜ロードショーの『天使にラブ・ソングを』を見ました🎞
この作品は見ると元気になるし、歌の力はすごいなと感じます🎶✨
ミュージカルは公演中止になってしまって残念だけど、無事再開できますように🙏
#金曜ロードショー #天使にラブ・ソングを #シスター・アクト #ミュージカル"
85,2022-12-02 23:45:38+09:00,"RT @itukayomu: 観といたほうがいいですよ
『天使にラブ・ソングを…』は‥！"
86,2022-12-02 23:45:37+09:00,"私が初めて買っ(てもらっ)た洋画のサントラは『天使にラブ・ソングを…』なんだぜっ！
なぜかカセットテープなんだぜっ！w
すでにCDが出回ってたし買ってたのにw
探せばまだあるはず…"
87,2022-12-02 23:45:36+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
88,2022-12-02 23:45:24+09:00,RT @tora01x10: 金ローが「天使にラブ・ソングを…」なので描くしかなかった。聖夜決戦編も楽しみだねー！ https://t.co/cg4MUWS8Jy
89,2022-12-02 23:45:19+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
90,2022-12-02 23:45:14+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
91,2022-12-02 23:45:08+09:00,RT @tora01x10: 金ローが「天使にラブ・ソングを…」なので描くしかなかった。聖夜決戦編も楽しみだねー！ https://t.co/cg4MUWS8Jy
92,2022-12-02 23:44:58+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
93,2022-12-02 23:44:52+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
94,2022-12-02 23:44:48+09:00,"天使にラブ·ソングを
いつ観ても良い😭
来週はパート２らしいから
絶対に観る…！！"
95,2022-12-02 23:44:42+09:00,RT @abe_atsuize: 天使にラブ・ソングをサイコーだな！
