,時間,本文
70,2023-02-03 23:57:27+09:00,"RT @sayjoy_enjoy: ディヴィ・ジョーンズ
↓
カリプソと恋に落ちます
↓
きちんと仕事もしました
↓
でも気分屋のカリプソに振られます
↓
だからカリプソを人間に封じます
↓
失恋して仕事もやる気になりません
↓
タコの化け物になります
↓
死ぬ前の言葉がカリプ…"
71,2023-02-03 23:57:27+09:00,"RT @HitUltra: やっぱり金ローの事だから編集が甘いんだよな…
10年後にウィルとエリザベスとその息子が会うシーンなかったか…

多分、５作目の地上波初放送の可能性は低いかな…
(なお、可能性は０と言いきれない)
#パイレーツオブカリビアン #パイレーツ・オブ・カリビ…"
72,2023-02-03 23:57:27+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
73,2023-02-03 23:57:26+09:00,ﾊﾟｲﾚｰﾂｵﾌﾞｶﾘﾋﾞｱﾝは１回1からちゃんと見直したいのよね
74,2023-02-03 23:57:26+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
75,2023-02-03 23:57:25+09:00,"RT @mhhodmZS8x2pw7p: #金曜ロードショー 
#パイレーツオブカリビアン 
ベケット卿「私のラストはカットです
か」 https://t.co/CcRbQK4LsO"
76,2023-02-03 23:57:21+09:00,"パイレーツオブカリビアンやってたのか😱
見逃した"
77,2023-02-03 23:57:14+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
78,2023-02-03 23:57:13+09:00,"RT @mako_MI_555: 1作目:ヒロインを攫う悪役
2作目:ラストシーンで最高の登場
3作目:”キスしろー！！“
ヒロイン達の結婚の仲介役！！

こんな最高な悪役います？？？🍏
バルボッサ大好き✨

#バルボッサ
#パイレーツオブカリビアン
#金曜ロードショー htt…"
79,2023-02-03 23:57:13+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
80,2023-02-03 23:57:12+09:00,RT @k_tsukudani: ちゃんちゃんちゃらちゃんちゃんちゃらちゃんちゃんちゃららん（※パイレーツオブカリビアンのテーマ曲をお送りしています）
81,2023-02-03 23:57:01+09:00,"RT @_kaku0609: 私の推しジャックであるサッシュをフンドシみたいにして着けているジャックがいる、ジャックたくさんシーンがまるごとカットされたので絶望しています（大の字）
#パイレーツオブカリビアン
#金曜ロードショー https://t.co/fRd89oa7SS"
82,2023-02-03 23:56:55+09:00,パイレーツオブカリビアンは全て初見だったけどアクションありユーモアありで良作だったな
83,2023-02-03 23:56:53+09:00,"@hinata_nuts パイレーツオブカリビアンはどっちかというとディズニープラスだな
アマプラにもあるだろうがただではあるまい"
84,2023-02-03 23:56:52+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
85,2023-02-03 23:56:48+09:00,パイレーツオブカリビアンのカットでトレンド上がってるけど、私本当に15年ぶりくらいに観たから忘れまくってるんだけど、エリザベスのパパ死んじゃうところはカットしちゃダメよね。
86,2023-02-03 23:56:47+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
87,2023-02-03 23:56:46+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
88,2023-02-03 23:56:45+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
89,2023-02-03 23:56:43+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
90,2023-02-03 23:56:42+09:00,パイレーツオブカリビアン3作目以降は見てないや〜　今どこで見れるんでずにーぷらす？
