,時間,本文
59,2023-01-27 23:56:47+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
バルボッサの吹替してる壤晴彦さん。スカーの時もそうだけど、粘り気凄いのにどこかエッジの効いた声好きよ。渋い色気あるよね✨ https://t.co/mRN6pGElgM"
60,2023-01-27 23:56:47+09:00,"RT @harastmac: クラーケンに捕まったパイレーツなネズミ
#パイレーツオブカリビアン #金曜ロードショー https://t.co/GavoAQGPfP"
61,2023-01-27 23:56:36+09:00,"RT @kinro_ntv: おのれぇぃいい！
ジャック・スパロウォォォォオオ！！

#金曜ロードショー　#パイレーツオブカリビアン https://t.co/MuygvkPQcD"
62,2023-01-27 23:56:35+09:00,パイレーツオブカリビアン観て義眼の人好きなんだよなと思ってたら素顔まじイケメンだった
63,2023-01-27 23:56:35+09:00,"パイレーツ・オブ・カリビアン ブルーレイ 5ムービー・コレクション [Blu-ray]

🔽🔽
https://t.co/K0NRyHSCtE

＃パイレーツオブカリビアン
＃金曜ロードショー"
64,2023-01-27 23:56:35+09:00,"RT @hiratapro: ★そしてこの映画で一番オイシイ海賊が登場っ❗

みんな大好きバルボッサ💃💃💃

#金曜ロードショー　
#パイレーツオブカリビアン"
65,2023-01-27 23:56:32+09:00,"RT @kinro_ntv: 来週も☠️#パイレーツオブカリビアン🏴☠️
第3⃣作『パイレーツ・オブ・カリビアン／ワールド・エンド』を放送します😆

世界中の海賊が集結！
永遠の命を手に入れるのは誰なのか…？
海賊たちの最後の闘いの火蓋が切られた！

ますますパワーアップした冒…"
66,2023-01-27 23:56:32+09:00,"RT @Hansode013: デッドマンズチェストが好きな理由

ここ

絵として完璧過ぎる
#パイレーツオブカリビアン
#金曜ロードショー https://t.co/50zMlmtdmx"
67,2023-01-27 23:56:27+09:00,"RT @daigakuseieiga: デイヴィ・ジョーンズとターナー親子がやっていたサイコロゲームのルール①

#パイレーツ・オブ・カリビアン #パイレーツオブカリビアン #金曜ロードショー https://t.co/VaRGFTN2ro"
68,2023-01-27 23:56:26+09:00,無知の感想は罪じゃないが無考の感情は罪だぜ　#パイレーツオブカリビアン
69,2023-01-27 23:56:24+09:00,"RT @roenskull: 戦火の中海賊船上で結婚式を執り行う２人にノリノリで立ち合い人になってくれるバルボッサ大好き
#パイレーツオブカリビアン https://t.co/MuoMT1R010"
70,2023-01-27 23:56:23+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
71,2023-01-27 23:56:17+09:00,"パイレーツオブカリビアンは映画全部見てるけどね、、バルボッサやっぱいいよほんとに
3作目の最後の方もいいけど5作目とかもやばい"
72,2023-01-27 23:56:12+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
73,2023-01-27 23:56:10+09:00,"RT @sayjoy_enjoy: 最後にバルボッサが登場するシーンは出演者も知らなかったサプライズだから驚いた顔は素の表情らしい

＃パイレーツオブカリビアン
＃金曜ロードショー https://t.co/9zr7TwHI13"
74,2023-01-27 23:56:03+09:00,"50過ぎてから売れた俳優ビル・ナイ
 #パイレーツオブカリビアン https://t.co/yeKiVzB5Jf"
75,2023-01-27 23:56:00+09:00,"RT @kinro_ntv: デイヴィ・ジョーンズ🐙を演じているのは、ビル・ナイさん👤。キーラ・ナイトレイさん👤も出演した「ラブ・アクチュアリー」や、「ナターシャの歌に」、「名探偵ピカチュウ」、黒澤明監督作品のリメイク「生きる LIVING」などに出演しています😄。
#金曜ロー…"
76,2023-01-27 23:55:58+09:00,"RT @kinro_ntv: デイヴィ・ジョーンズというのは、昔の船乗りが海の悪霊👻につけた名前です。

英語の慣用句で「be lost to Davy Jones’s Locker」というのは「海の藻屑と消える」🌊という意味で、溺れた船乗りや船が沈没したとき🚢にこの表現が使わ…"
77,2023-01-27 23:55:54+09:00,やっぱパイレーツオブカリビアンはおもれえなぁ！！！
78,2023-01-27 23:55:45+09:00,"RT @HitUltra: エンドロール後の特典映像には、
プリズンドッグがなぜか部族の長になってるみたいですよ…ﾎﾞｿﾎﾞｿﾎﾞｿ
#パイレーツオブカリビアン #パイレーツ・オブ・カリビアン #デッドマンズチェスト #金曜ロードショー https://t.co/NZjME9B…"
79,2023-01-27 23:55:43+09:00,パイレーツオブカリビアンおもしろ！
80,2023-01-27 23:55:41+09:00,"RT @Silver_Panza: #グリムノーツ
ジョン様にパイレーツオブカリビアンの名シーンをやってもらいます
🍊🍈🍍🍐🍉🥭 https://t.co/gLutEhHKiQ"
81,2023-01-27 23:55:41+09:00,"RT @kinro_ntv: デイヴィ・ジョーンズというのは、昔の船乗りが海の悪霊👻につけた名前です。

英語の慣用句で「be lost to Davy Jones’s Locker」というのは「海の藻屑と消える」🌊という意味で、溺れた船乗りや船が沈没したとき🚢にこの表現が使わ…"
82,2023-01-27 23:55:40+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
83,2023-01-27 23:55:40+09:00,"RT @kinro_ntv: 来週も☠️#パイレーツオブカリビアン🏴☠️
第3⃣作『パイレーツ・オブ・カリビアン／ワールド・エンド』を放送します😆

世界中の海賊が集結！
永遠の命を手に入れるのは誰なのか…？
海賊たちの最後の闘いの火蓋が切られた！

ますますパワーアップした冒…"
84,2023-01-27 23:55:35+09:00,"RT @daigakuseieiga: デイヴィ・ジョーンズとターナー親子がやっていたサイコロゲームのルール①

#パイレーツ・オブ・カリビアン #パイレーツオブカリビアン #金曜ロードショー https://t.co/VaRGFTN2ro"
85,2023-01-27 23:55:32+09:00,"RT @kinro_ntv: 来週も☠️#パイレーツオブカリビアン🏴☠️
第3⃣作『パイレーツ・オブ・カリビアン／ワールド・エンド』を放送します😆

世界中の海賊が集結！
永遠の命を手に入れるのは誰なのか…？
海賊たちの最後の闘いの火蓋が切られた！

ますますパワーアップした冒…"
86,2023-01-27 23:55:30+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
87,2023-01-27 23:55:26+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
バルボッサの吹替してる壤晴彦さん。スカーの時もそうだけど、粘り気凄いのにどこかエッジの効いた声好きよ。渋い色気あるよね✨ https://t.co/mRN6pGElgM"
88,2023-01-27 23:55:16+09:00,"パイレーツオブカリビアン見てからなにげに見ていた
#WBS"
