,時間,本文
86,2023-01-13 23:56:23+09:00,"RT @misakifes1: 見逃してから知る……

ジブリ映画「思い出のマーニー」の舞台モデルになっていたのが釧路湿原で、今はなき振り子特急キハ283系の「スーパーおおぞら」が登場していただなんて……！！ https://t.co/1a5fa6Bnfq"
87,2023-01-13 23:56:20+09:00,今日金ロでやってた思い出のマーニーみて昔お母さんの実家帰省した時映画館で見たのめっちゃ思い出残ってる。今度帰る時またあそこの映画館行きたいな
88,2023-01-13 23:56:19+09:00,思い出のマーニーてブリケット窪地とどう違うん？
89,2023-01-13 23:56:18+09:00,RT @m0m0_0ssrr_: 思い出のマーニー、真っ先に思い出すのは「まだマーニーあう！まだまだマーニーあう！」の広告なんだよな。 https://t.co/8yNjbHndm0
90,2023-01-13 23:56:17+09:00,金ローで思い出のマーニーを見た。また最後に泣いてしまった。何度見ても泣いてしまう、本当に良い映画。
91,2023-01-13 23:56:12+09:00,"RT @nagi0467: 釧路根室地区の湿原には本当に「思い出のマーニー」みたいな世界が広がってる
道東においでよ🙌
#思い出のマーニー https://t.co/jBEw8zsRyk"
92,2023-01-13 23:56:10+09:00,"RT @Taylor143always: 『思い出のマーニー』のヒロインは信子

杏奈から「太っちょ豚！」と暴言を吐かれても怒らず両成敗となるように冷静に立ち回るぐう聖っぷり

強がってたけど本当は悲しくて耐えきれず母親に泣きついて甘えるという萌えムーブまでかましてて可愛すぎる…"
93,2023-01-13 23:56:03+09:00,そういえば思い出のマーニーの杏奈の声をやってた高月彩良ちゃんは、娘の高校の同級生でした。卒業式の時に見かけたけど、一人だけオーラが違ってたなあ。
94,2023-01-13 23:56:02+09:00,思い出のマーニー初めて見たのネイルサロン行った時だったんだけど感動してネイル中に泣いた 今日の金ローで見てまた泣いた
95,2023-01-13 23:55:59+09:00,RT @hatsumidashiyo: 「思い出のマーニー」後、ジブリスタッフが各所に散り、忍たまも一時おこぼれにあずかりました。23期、雑渡VS食満、タソガレ忍者VSチャミダレくの一のシーンは旧ジブリスタッフによる作画。めっちゃ上手かった…。
96,2023-01-13 23:55:58+09:00,"RT @yuna_Jel_0517: ✿ @jel_sub ✿

ジェルくん、今日も1日お疲れ様でした！
今日はどんな1日でしたか💭
私は今テレビで『思い出のマーニー』がやってるので、のんびり見てます(｡•ᴗ•｡)♡
ジェルくんも今見てるのかな？
それはともかく『愛言葉IV』1…"
97,2023-01-13 23:55:57+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
98,2023-01-13 23:55:57+09:00,ネコみっそ いつか思い出のマーニー見て
99,2023-01-13 23:55:55+09:00,RT @Tikuwa_sky: 岸辺露伴、よりによって原作でマーニーじみた奴に会ってるしヘブンズ・ドアーが特攻なので思い出のマーニーは岸辺露伴が介入すると秒で終わる
100,2023-01-13 23:55:55+09:00,思い出のマーニーによる強めの百合オーラを浴びてクラクラしてる。
101,2023-01-13 23:55:54+09:00,思い出のマーニー、岸辺露伴が大いに興味持ちそうな話と聞いて気になってきた
102,2023-01-13 23:55:49+09:00,"RT @kinro_ntv: 宮﨑駿監督は、映画を最後まで観ないで10分ぐらいで出て行ってしまうことが多いそうなのですが、西村義明プロデューサーによると『思い出のマーニー』は最後まで観て「麻呂（米林監督）はよく頑張った」と褒めていたそうです😊。👉続く
#金曜ロードショー #思い…"
103,2023-01-13 23:55:49+09:00,思い出のマーニーを見てると思い出のマーニー×種田陽平展のナイトミュージアムに行った時を思い出すな。
104,2023-01-13 23:55:43+09:00,"RT @kinro_ntv: 『借りぐらしのアリエッティ』後、もう一度監督をやりたいと申し出ていた米林監督に対し、鈴木敏夫プロデューサーは『思い出のマーニー』を提案しました😄。👉続く
#金曜ロードショー #思い出のマーニー https://t.co/FH1IsqB7zt"
